Lesson,Italian,Pronuncation,Part of Speech,English,EF,Target Date,Interval
1A,(la) l'opera ,òpera,noun,work; opera; opus; action,1.5,2020-08-21 23:58:18.405297,2
1A,la pizza,pìzza,noun,pizza; reel,1.5,2020-08-21 23:58:27.153861,2
1A,la radio ,ràdio,noun/adj,radio; wireless; radius,1.5,2020-08-21 23:58:30.198153,2
1A,speciale,speciàle,adj,special; particular; especial,1.5,2020-08-21 23:58:32.314201,2
1A,terribile,terrìbile,adj,terrible; awful; dreadful; appalling,1.5,2020-08-21 23:58:35.656316,2
1A,(la) l'università,università,noun,university; college,1.5,2020-08-21 23:58:37.779924,2
1A,il video,vìdeo,noun,video,1.3,2020-08-21 23:58:41.333940,2
1A,il zoo,ẓòo,noun,zoo,1.5,2020-08-21 23:58:43.817103,2
1A,acuto,acùto,adj,acute; sharp; keen; high; pointed,1.5,2020-08-21 23:58:46.317733,2
1A,grave,gràve,adj,serious; severe; grave; bad; heavy,1.5,2020-08-21 23:58:48.176721,2
1A,(il) l'alfabeto,alfabèto,noun,alphabet,1.5,2020-08-21 23:58:51.419058,2
1A,scrivere,scrìvere,verb,write; write down; enter; pen; record,1.5,2020-08-21 23:58:53.560804,2
1A,maiusculo,maiùsculo,adj,uppercase; capital,1.5,2020-08-21 23:58:56.684633,2
1A,la musica,mùṣica,noun,music,1.5,2020-08-21 23:58:59.028980,2
1A,esatto,eṣàtto,adj,exact; accurate; correct; right; true,1.5,2020-08-21 23:59:01.681869,2
1A,il numero,nùmero,noun,number; size; digit; figure,1.5,2020-08-21 23:59:04.760687,2
1A,il proverbio,provèrbio,noun,proverb; saying; byword; dictum,1.5,2020-08-21 23:59:07.869761,2
1A,il lunedì,lunedì,noun,Monday,1.5,2020-08-21 23:59:12.089413,2
1A,il martedì,martedì,noun,Tuesday,1.5,2020-08-21 23:59:14.453673,2
1A,il mercoledì,mercoledì,noun,Wednesday,1.4,2020-08-21 23:59:17.325777,2
1A,il giovedì,giovedì,noun,Thursday,1.4,2020-08-21 23:59:21.274652,2
1A,il venerdì,venerdì,noun,Friday,1.3,2020-08-21 23:59:25.485421,2
1A,il sabato,sàbato,noun,Saturday,1.4,2020-08-21 23:59:28.990747,2
1A,la domenica,doménica,noun,Sunday,1.4,2020-08-21 23:59:33.064408,2
08/20,il luogo,luògo,noun,place; site; spot; area,1.5,2020-08-21 23:59:36.849544,2
8/20,cominciare,cominciàre,verb,start; begin; commence; proceed,1.5,2020-08-21 23:59:39.076300,2
